Dataset names,GMMN,RCGAN,TimeGAN,SigCWGAN,TimeVQVAE.mean,TimeVQVAE.std
ShakeGestureWiimoteZ,nan,42.5,22.4,116.7,2.4,0.7
ShapeletSim,8.4,2.6,nan,0.8,9.0,2.5
ShapesAll,nan,nan,nan,nan,14.4,2.2
SmallKitchenAppliances,19,nan,20.8,233.1,4.7,0.4
SmoothSubspace,nan,7.7,14.1,8.2,0.6,0.1
SonyAIBORobotSurface1,31.7,nan,14.3,81.7,8.8,1.8
SonyAIBORobotSurface2,22.6,21.2,14.5,10.7,1.4,0.3
StarLightCurves,27.6,42.9,6.7,nan,0.7,0.1
Strawberry,70.6,20.8,333.9,nan,0.4,0.1
SwedishLeaf,46.3,16.5,24.7,151.5,7.9,0.4
Symbols,33.8,29.9,57.2,407.6,5.6,1.6
SyntheticControl,14.7,12.6,14,17.4,3.7,0.9
ToeSegmentation1,19.2,502.3,nan,7,4.1,0.6
ToeSegmentation2,3.5,2.8,154.7,89,6.2,0.3
Trace,93,90.8,21.7,187.4,5.7,0.7
TwoLeadECG,10.4,12.2,8.7,49.5,0.2,0.1
TwoPatterns,15.4,31.8,29.6,51.3,2.2,0.6
UMD,454.1,11.4,15.5,501.3,1.2,0.4
UWaveGestureLibraryAll,737.2,nan,nan,586.1,4.5,0.2
UWaveGestureLibraryX,31.5,nan,nan,nan,6.8,0.3
UWaveGestureLibraryY,nan,22,nan,nan,7.0,0.0
UWaveGestureLibraryZ,9.6,24.3,nan,nan,27.7,2.5
Wafer,26.8,nan,23.6,164,1.5,0.3
Wine,nan,nan,nan,nan,0.4,0.1
WordSynonyms,34.4,11.3,42.3,nan,2.9,0.1
Worms,nan,nan,nan,nan,8.0,0.5
WormsTwoClass,nan,nan,nan,nan,8.0,1.5
Yoga,nan,nan,nan,nan,2.3,0.2
